1A01	3747.73	225.76
1A02	3747.29	226.3
1A03	3746.85	226.84
1A04	3746.42	227.37
1A05	3745.98	227.91
1A06	3745.55	228.45
1A07	3745.11	228.98
1A08	3744.68	229.52
1A09	3744.24	230.06
1A10	3743.81	230.59
1A11	3743.37	231.13
1B01	3747.92	226.68
1B02	3747.48	227.22
1B03	3747.05	227.76
1B04	3746.61	228.29
1B05	3746.18	228.83
1B06	3745.74	229.37
1B07	3745.31	229.9
1B08	3744.87	230.44
1B09	3744.43	230.98
1B10	3744.0	231.51
1C01	3748.11	227.61
1C02	3747.68	228.14
1C03	3747.24	228.68
1C04	3746.81	229.22
1C05	3746.37	229.75
1C06	3745.94	230.29
1C07	3745.5	230.83
1C08	3745.06	231.36
1C09	3744.63	231.9
1D01	3748.31	228.53
1D02	3747.87	229.06
1D03	3747.43	229.6
1D04	3747.0	230.14
1D05	3746.56	230.67
1D06	3746.13	231.21
1D07	3745.69	231.75
1D08	3745.26	232.28
1E01	3748.5	229.45
1E02	3748.06	229.99
1E03	3747.63	230.52
1E04	3747.19	231.06
1E05	3746.76	231.6
1E06	3746.32	232.13
1E07	3745.88	232.67
1F01	3748.69	230.37
1F02	3748.26	230.91
1F03	3747.82	231.44
1F04	3747.38	231.98
1F05	3746.95	232.52
1F06	3746.51	233.05
2A12	3742.93	231.67
2A13	3742.48	232.22
2A14	3742.03	232.78
2A15	3741.58	233.33
2A16	3741.13	233.89
2A17	3739.78	235.55
2A18	3739.33	236.1
2A19	3738.88	236.66
2A20	3738.4	237.25
2B11	3743.56	232.05
2B12	3743.13	232.63
2B13	3742.7	233.21
2B14	3742.27	233.79
2B15	3741.79	234.44
2B16	3740.27	236.47
2B17	3739.81	237.09
2B18	3739.14	237.98
2C10	3743.81	233.06
2C11	3743.42	233.69
2C12	3743.04	234.32
2C13	3742.66	234.94
2C14	3742.28	235.57
2C15	3740.64	237.06
2C16	3739.69	238.44
2D09	3744.82	232.82
2D10	3744.4	233.45
2D11	3743.98	234.08
2D12	3743.62	234.77
2D13	3743.24	235.57
2D14	3742.86	236.37
2D15	3741.0	237.65
2D16	3740.6	238.27
2D17	3740.24	238.89
2E08	3745.45	233.21
2E09	3744.99	233.84
2E10	3744.52	234.49
2E11	3744.16	235.24
2E12	3743.97	236.12
2E13	3743.77	237.0
2E14	3743.58	237.89
2E15	3741.34	238.25
2E16	3740.96	238.87
2F07	3746.17	233.65
2F08	3745.75	234.32
2F09	3745.36	235.02
2F10	3745.02	235.75
2F11	3744.72	236.51
2F12	3744.46	237.3
2F13	3744.25	238.1
2F14	3743.79	238.59
2F15	3741.69	238.84
A01	3738.22	255.95
A02	3738.7	255.02
A03	3739.21	254.02
A04	3739.75	252.96
A05	3739.99	251.72
A06	3743.07	245.79
A07	3746.24	240.2
A08	3746.66	239.38
A09	3747.08	238.55
A10	3747.5	237.73
A11	3747.92	236.9
A12	3748.34	236.07
A13	3748.76	235.24
A14	3749.18	234.41
B01	3737.18	255.9
B02	3737.71	255.08
B03	3738.25	254.13
B04	3738.74	253.17
B05	3739.22	252.28
B06	3741.92	246.64
B07	3742.3	245.59
B08	3743.0	244.73
B09	3742.85	243.84
B10	3745.37	239.65
B11	3745.96	238.87
B12	3746.17	237.92
B13	3746.77	237.35
B14	3747.32	236.27
B15	3747.84	235.13
B16	3748.29	234.2
B17	3748.55	233.23
C01	3736.3	255.85
C02	3736.6	254.95
C03	3737.34	254.12
C04	3737.86	253.1
C05	3738.35	252.07
C06	3738.99	251.32
C07	3739.0	250.34
C08	3741.04	246.48
C09	3742.11	244.47
C10	3742.66	242.83
C11	3744.5	239.09
C12	3745.14	238.45
C13	3745.27	237.4
C14	3745.59	236.44
C15	3746.39	236.39
C16	3746.04	235.54
C17	3746.94	235.3
C18	3746.53	234.53
C19	3747.38	234.11
C20	3747.64	233.01
C21	3748.3	232.23
D01	3736.55	253.94
D02	3737.01	252.92
D03	3737.51	251.96
D04	3738.15	250.94
D05	3738.33	249.95
D06	3740.04	246.57
D07	3740.49	245.61
D08	3741.48	243.78
D09	3741.87	242.86
E01	3736.17	253.1
E02	3736.6	251.88
E03	3737.23	250.93
E04	3737.51	249.9
E05	3739.5	245.76
E06	3739.99	244.71
E07	3740.5	243.7
E08	3740.98	242.73
F01	3735.77	252.21
F02	3735.67	251.26
F03	3736.35	250.78
F04	3736.64	249.78
F05	3737.06	248.78
F06	3738.61	245.87
F07	3739.57	243.73
G01	3735.06	250.62
G02	3735.69	249.89
G03	3736.09	248.9
G04	3736.56	247.91
G05	3737.75	245.65
H01	3734.67	249.78
H02	3735.13	248.88
H03	3735.59	247.99
H04	3736.04	247.09
H05	3736.96	245.3
H06	3737.41	244.4
