nest_id,x_km,y_km,assigned_turbine_count,route_distance_km,flight_seconds,equivalent_energy_seconds,service_radius_margin_km,endurance_margin_seconds,route_ids
1B10,3744.0,231.51,25,21.018726693131264,1236.3956878312508,1521.3956878312508,3.9749710745184452,938.6043121687492,1B10;1B09;1B08;1B07;1A08;1A07;1A09;1A10;1A11;2A12;2A13;2A14;2B13;2B14;2C12;2C11;2D11;2E10;2D10;2C10;2B12;2B11;1C09;1C08;2D09
1D01,3748.31,228.53,24,20.56425068970636,1209.6618052768445,1483.2618052768444,4.169929329504301,976.7381947231556,1D01;1D02;1D03;1D04;1C05;1C04;1C03;1C02;1C01;1B02;1B03;1B04;1B05;1B06;1A06;1A05;1A04;1A03;1A02;1A01;1B01;1E01;1E02;1F01
1E06,3746.32,232.13,26,24.931481653454885,1466.5577443208756,1762.9577443208755,4.142413605855602,697.0422556791245,1E06;1E05;1E04;1E03;1F02;1F03;1F04;1F05;1F06;2F07;2F08;C18;C19;B16;B17;C20;C21;1D05;1D06;1D07;1D08;1E07;2E08;2E09;1C07;1C06
2B17,3739.81,237.09,25,27.483112457639514,1616.6536739787948,1901.6536739787948,2.2729501800806897,558.3463260212052,2B17;2B16;2C15;2D15;2E15;2F15;2E16;2D16;2D17;2C16;2B18;2A20;2A19;2A18;2A17;2A16;2A15;2B15;2C13;2C14;2D13;2D14;2E14;2E11;2D12
A10,3747.5,237.73,29,32.21909929393331,1895.2411349372537,2225.8411349372536,3.1201804165655633,234.15886506274637,A10;B13;B12;B11;A08;A07;B10;C11;2F14;2F13;2F12;2E13;2E12;2F11;2F10;2F09;C16;C15;C14;C13;C12;A09;A11;B14;A12;A13;B15;C17;A14
B02,3737.71,255.08,14,15.175783725105518,892.6931603003245,1052.2931603003244,3.81878953855622,1407.7068396996756,B02;B01;C01;C02;D01;C03;B03;A03;B04;C04;B05;A04;A02;A01
F03,3736.35,250.78,25,30.110256619971896,1771.1915658806997,2056.1915658806997,3.240585151915385,403.8084341193003,F03;F02;G01;H01;H02;G03;F05;G04;H04;H03;G02;F04;E04;D05;C07;C06;D04;E03;D03;C05;D02;E01;F01;E02;A05
F07,3739.57,243.73,21,26.576455809170408,1563.3209299512005,1802.7209299512006,2.9387686596304308,657.2790700487994,F07;E07;D08;C09;B08;B09;C10;D09;E08;E06;D07;E05;F06;G05;H05;H06;D06;C08;B06;B07;A06
